City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,37.02,97,100,9.22,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,37.51,81,40,20.71,scattered clouds
2,Norman Wells,CA,65.282,-126.8329,30.24,93,100,10.36,light snow
3,Atuona,PF,-9.8,-139.0333,76.89,74,4,12.91,clear sky
4,Gizo,SB,-8.103,156.8419,84.97,67,80,6.33,broken clouds
5,Brazzaville,CG,-4.2658,15.2832,74.57,83,100,4.81,overcast clouds
6,Pemangkat,ID,1.1667,108.9667,85.69,65,36,5.84,scattered clouds
7,Butaritari,KI,3.0707,172.7902,82.27,67,56,10.63,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,71.02,72,100,18.57,overcast clouds
9,Grand Gaube,MU,-20.0064,57.6608,74.37,61,60,5.01,broken clouds
10,Georgetown,MY,5.4112,100.3354,87.73,72,20,4.61,few clouds
11,Avarua,CK,-21.2078,-159.775,77.05,73,40,12.66,scattered clouds
12,Marsa Matruh,EG,31.3525,27.2453,67.78,70,3,2.53,clear sky
13,Victoria,HK,22.2855,114.1577,82.45,67,71,8.99,broken clouds
14,Albany,US,42.6001,-73.9662,41.63,82,65,6.76,broken clouds
15,Ossora,RU,59.2353,163.0719,32.86,44,100,6.13,overcast clouds
16,Lamar,US,33.6668,-95.5836,50.36,58,0,8.05,clear sky
17,Tuktoyaktuk,CA,69.4541,-133.0374,26.87,87,100,6.31,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,58.8,88,12,10.07,few clouds
19,Yellowknife,CA,62.456,-114.3525,45.5,85,8,16.58,clear sky
20,Qaanaaq,GL,77.484,-69.3632,-0.72,62,0,11.92,clear sky
21,Hithadhoo,MV,-0.6,73.0833,80.33,76,91,8.16,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,65.88,47,8,1.99,clear sky
23,Lafia,NG,8.4833,8.5167,74.01,89,100,2.75,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,74.79,73,17,8.25,few clouds
25,Griffith,US,41.5284,-87.4237,39.13,56,0,6.91,clear sky
26,College,US,64.8569,-147.8028,33.21,91,100,3.44,fog
27,Carnarvon,AU,-24.8667,113.6333,72.48,61,2,12.93,clear sky
28,Kyra,RU,49.5776,111.9753,37.87,97,100,3.51,overcast clouds
29,Kruisfontein,ZA,-34.0033,24.7314,66.88,77,40,21.23,scattered clouds
30,Punta Alta,AR,-38.8759,-62.0736,62.37,64,100,10.58,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,56.48,74,75,14.07,broken clouds
32,Richards Bay,ZA,-28.783,32.0377,72.16,75,60,12.28,broken clouds
33,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,70.79,99,100,1.86,overcast clouds
34,Mount Gambier,AU,-37.8333,140.7667,71.96,56,6,8.59,clear sky
35,Ushuaia,AR,-54.8,-68.3,35.26,87,40,11.5,scattered clouds
36,Sukumo,JP,32.9333,132.7333,69.71,46,0,3.58,clear sky
37,Camacha,PT,33.0833,-16.3333,69.22,83,20,11.5,few clouds
38,Misratah,LY,32.3754,15.0925,70.68,59,0,5.55,clear sky
39,Portland,US,45.5234,-122.6762,66.51,72,0,5.99,smoke
40,Thompson,CA,55.7435,-97.8558,32.16,100,100,2.3,fog
41,Riyadh,SA,24.6877,46.7219,69.94,17,3,2.26,clear sky
42,Gladstone,AU,-23.85,151.25,75.13,78,100,8.05,overcast clouds
43,Kodiak,US,57.79,-152.4072,47.71,66,75,11.5,broken clouds
44,Coihaique,CL,-45.5752,-72.0662,50.61,96,95,7.27,light rain
45,East London,ZA,-33.0153,27.9116,70.63,87,40,20.8,scattered clouds
46,San Andres,CO,12.5847,-81.7006,84.22,79,20,8.05,few clouds
47,Kapaa,US,22.0752,-159.319,75.18,80,100,13.8,overcast clouds
48,Hasaki,JP,35.7333,140.8333,70.29,49,0,11.52,clear sky
49,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,13.8,scattered clouds
50,Marawi,PH,7.9986,124.2928,79.11,79,99,1.12,overcast clouds
51,Jiuquan,CN,39.7432,98.5174,54.59,22,0,4.36,clear sky
52,Muros,ES,42.7762,-9.0603,59.85,89,16,29.26,few clouds
53,Oranjemund,NA,-28.55,16.4333,59.72,91,83,13.2,broken clouds
54,Caucaia,BR,-3.7361,-38.6531,80.55,70,40,18.41,scattered clouds
55,Mareeba,AU,-17.0,145.4333,88.45,62,63,5.93,broken clouds
56,Dikson,RU,73.5069,80.5464,32.32,98,100,22.77,light snow
57,Montgomery,US,39.1501,-77.1997,45.32,83,0,3.44,clear sky
58,Chake Chake,TZ,-5.2459,39.7666,75.78,72,74,8.1,broken clouds
59,Ponta Do Sol,PT,32.6667,-17.1,75.0,92,100,12.73,light rain
60,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,90,100,27.85,overcast clouds
61,Poum,NC,-20.2333,164.0167,77.13,73,35,8.81,scattered clouds
62,Caravelas,BR,-17.7125,-39.2481,72.48,81,47,6.55,scattered clouds
63,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,39,40,15.66,scattered clouds
64,Barrow,US,71.2906,-156.7887,28.42,93,100,13.8,light snow
65,Valparaiso,CL,-33.0393,-71.6273,53.24,76,0,3.44,clear sky
66,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,88,99,16.91,overcast clouds
67,Champerico,GT,14.3,-91.9167,79.54,85,92,3.71,overcast clouds
68,Esperance,AU,-33.8667,121.9,66.58,75,83,18.9,broken clouds
69,Port Lincoln,AU,-34.7333,135.8667,65.25,63,15,8.63,few clouds
70,Taoudenni,ML,22.6783,-3.9836,81.16,17,42,13.27,scattered clouds
71,Vila Velha,BR,-20.3297,-40.2925,69.94,98,75,0.0,moderate rain
72,Kaitangata,NZ,-46.2817,169.8464,51.33,70,72,17.43,broken clouds
73,Gamba,GA,-2.65,10.0,76.21,86,100,7.31,overcast clouds
74,Poyarkovo,RU,49.6,128.6833,50.81,34,46,7.81,scattered clouds
75,Aden,YE,12.7794,45.0367,83.19,63,1,13.98,clear sky
76,Castro,BR,-24.7911,-50.0119,60.13,96,96,3.71,overcast clouds
77,Guerrero Negro,MX,27.9769,-114.0611,72.82,74,7,9.33,clear sky
78,Khatanga,RU,71.9667,102.5,21.13,96,100,1.95,light snow
79,Sassandra,CI,4.95,-6.0833,73.67,93,99,3.6,moderate rain
80,Santa Lucia,ES,27.9117,-15.5407,61.92,78,20,10.36,few clouds
81,Nisia Floresta,BR,-6.0911,-35.2086,72.41,84,11,8.57,few clouds
82,Bambous Virieux,MU,-20.3428,57.7575,74.21,68,20,5.75,few clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,67.98,80,68,8.08,broken clouds
84,Sira,IN,13.7453,76.9092,77.45,71,79,3.0,broken clouds
85,Shelburne,CA,44.0787,-80.2041,34.75,98,100,14.94,overcast clouds
86,La Serena,CL,-29.9078,-71.2542,56.37,80,0,0.36,clear sky
87,Oyama,JP,36.3,139.8,66.51,26,0,2.64,clear sky
88,Tirau,NZ,-37.9833,175.75,62.37,74,100,16.67,overcast clouds
89,Verkhnyaya Inta,RU,65.9811,60.3094,30.7,97,100,11.48,light snow
90,Narsaq,GL,60.9167,-46.05,34.02,72,0,6.13,clear sky
91,Asfi,MA,32.2994,-9.2372,70.05,62,100,2.15,overcast clouds
92,Kirkwall,GB,58.9848,-2.9587,47.97,93,75,16.11,moderate rain
93,Arlit,NE,18.7369,7.3853,74.7,24,0,6.87,clear sky
94,Sorong,ID,-0.8833,131.25,84.36,70,51,3.89,broken clouds
95,Villa Carlos Paz,AR,-31.4241,-64.4978,57.88,95,100,1.99,overcast clouds
96,Mahebourg,MU,-20.4081,57.7,74.25,68,20,5.75,few clouds
97,Upernavik,GL,72.7868,-56.1549,17.76,91,100,8.19,overcast clouds
98,Kokkola,FI,63.8385,23.1307,44.92,91,16,4.61,few clouds
99,Pangai,TO,-19.8,-174.35,78.13,74,100,4.65,overcast clouds
100,Sorland,NO,67.667,12.6934,40.86,66,100,4.68,overcast clouds
101,Lompoc,US,34.6391,-120.4579,71.74,64,0,8.05,clear sky
102,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.02,98,99,4.03,overcast clouds
103,Vestmannaeyjar,IS,63.4427,-20.2734,43.65,76,100,10.36,overcast clouds
104,Atlantic City,US,39.3643,-74.4229,50.0,70,0,6.91,clear sky
105,Katsuura,JP,35.1333,140.3,65.71,45,0,9.26,clear sky
106,Nikolskoye,RU,59.7035,30.7861,34.92,94,83,4.81,broken clouds
107,Hobart,AU,-42.8794,147.3294,66.27,69,20,14.97,few clouds
108,Bluff,NZ,-46.6,168.3333,56.8,71,45,29.59,scattered clouds
109,Bichura,RU,50.5881,107.6022,43.68,48,100,5.61,overcast clouds
110,Paamiut,GL,61.994,-49.6678,28.74,47,0,17.74,clear sky
111,Klaksvik,FO,62.2266,-6.589,43.72,73,47,18.59,scattered clouds
112,Canchungo,GW,12.0672,-16.0333,73.53,86,32,3.13,scattered clouds
113,Sao Filipe,CV,14.8961,-24.4956,78.22,82,67,0.76,broken clouds
114,Nome,US,64.5011,-165.4064,36.16,93,40,12.66,scattered clouds
115,Agar,IN,23.7,76.0167,75.85,50,2,7.56,clear sky
116,Molina,CL,-35.1167,-71.2833,52.38,74,5,2.3,clear sky
117,Pisco,PE,-13.7,-76.2167,58.01,88,53,2.3,broken clouds
118,Kalmunai,LK,7.4167,81.8167,83.5,67,95,1.79,overcast clouds
119,Provideniya,RU,64.3833,-173.3,35.71,100,100,17.9,mist
120,Mar Del Plata,AR,-38.0023,-57.5575,59.95,90,100,11.99,overcast clouds
121,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,7.16,snow
122,Tonj,SS,7.2737,28.6822,70.83,92,84,1.79,broken clouds
123,Faya,SA,18.3851,42.4509,55.92,28,0,4.09,clear sky
124,Santa Cruz,BO,-17.8,-63.1667,73.89,83,35,9.26,scattered clouds
125,Cape Town,ZA,-33.9258,18.4232,58.91,84,20,1.14,few clouds
126,Bethel,US,41.3712,-73.414,50.31,75,0,9.22,clear sky
127,Egvekinot,RU,66.3167,-179.1667,29.44,99,100,6.38,snow
128,Zeya,RU,53.75,127.2667,43.74,36,91,6.64,overcast clouds
129,Te Anau,NZ,-45.4167,167.7167,46.11,93,100,3.8,overcast clouds
130,Nueva Guinea,NI,11.6876,-84.4562,72.09,96,68,3.44,broken clouds
131,Busselton,AU,-33.65,115.3333,63.68,76,97,14.94,overcast clouds
132,Clyde River,CA,70.4692,-68.5914,23.23,93,100,9.22,light snow
133,Geraldton,AU,-28.7667,114.6,73.81,53,75,12.66,broken clouds
134,Bredasdorp,ZA,-34.5322,20.0403,55.45,94,35,6.26,scattered clouds
135,Hervey Bay,AU,-25.2986,152.8535,77.02,79,97,10.0,overcast clouds
136,Cherskiy,RU,68.75,161.3,21.25,97,91,5.95,overcast clouds
137,Santa Maria,BR,-29.6842,-53.8069,62.44,91,100,7.18,moderate rain
138,Mackenzie,CA,55.2999,-123.1698,53.82,35,100,4.61,overcast clouds
139,Souillac,MU,-20.5167,57.5167,73.78,68,20,5.75,few clouds
140,Qaqortoq,GL,60.7167,-46.0333,31.33,52,0,13.2,clear sky
141,Ouro Fino,BR,-22.2831,-46.3692,59.4,95,5,5.84,clear sky
142,Viedma,AR,-40.8135,-62.9967,65.77,56,5,18.95,clear sky
143,Carberry,CA,49.8689,-99.3602,34.03,76,52,5.32,broken clouds
144,Gorontalo,ID,0.5412,123.0595,87.69,68,100,3.51,overcast clouds
145,Kijang,KR,35.2442,129.2139,64.11,30,0,4.41,clear sky
146,Bubaque,GW,11.2833,-15.8333,80.49,76,34,4.36,scattered clouds
147,Hilo,US,19.7297,-155.09,81.28,82,100,4.61,overcast clouds
148,Bagado,CO,5.4116,-76.4152,73.0,99,96,1.03,light rain
149,Shingu,JP,33.7333,135.9833,68.23,42,0,5.57,clear sky
150,Port Elizabeth,ZA,-33.918,25.5701,69.1,89,20,27.63,few clouds
151,Nsunga,TZ,-1.1439,31.3947,62.4,94,99,1.68,overcast clouds
152,Mushabani,IN,22.5167,86.45,79.47,60,0,5.21,clear sky
153,Veraval,IN,20.9,70.3667,82.67,47,44,5.28,scattered clouds
154,San Quintin,MX,30.4833,-115.95,72.57,66,38,3.15,scattered clouds
155,Leme,BR,-22.1856,-47.3903,65.71,81,2,3.15,clear sky
156,Sioux Lookout,CA,50.1001,-91.917,26.67,86,40,2.3,scattered clouds
157,Rundu,NA,-17.9333,19.7667,64.2,67,3,5.23,clear sky
158,Namibe,AO,-15.1961,12.1522,62.53,89,30,8.19,scattered clouds
159,Hobyo,SO,5.3505,48.5268,78.75,81,35,16.53,scattered clouds
160,Kurumkan,RU,54.3,110.3,39.27,60,11,1.57,few clouds
161,Kalemie,CD,-5.9475,29.1947,71.19,84,98,0.76,light rain
162,Quartz Hill,US,34.6453,-118.2181,73.69,31,0,5.01,clear sky
163,Antofagasta,CL,-23.65,-70.4,58.28,74,26,4.83,scattered clouds
164,Ancud,CL,-41.8697,-73.8203,54.23,97,100,20.33,moderate rain
165,Rocha,UY,-34.4833,-54.3333,56.61,99,88,6.87,overcast clouds
166,Carutapera,BR,-1.195,-46.02,79.02,78,98,9.33,overcast clouds
167,Lavrentiya,RU,65.5833,-171.0,36.18,87,100,25.43,overcast clouds
168,Vanimo,PG,-2.6741,141.3028,85.24,66,98,7.02,overcast clouds
169,Tual,ID,-5.6667,132.75,83.48,73,76,3.15,broken clouds
170,Vaini,TO,-21.2,-175.2,73.56,100,75,5.75,broken clouds
171,Taltal,CL,-25.4,-70.4833,60.13,67,0,1.25,clear sky
172,Supe,PE,-10.8,-77.7333,60.46,86,57,7.96,broken clouds
173,Torbay,CA,47.6666,-52.7314,56.28,96,100,10.36,overcast clouds
174,Shimoda,JP,34.6667,138.95,64.11,51,0,6.76,clear sky
175,Tautira,PF,-17.7333,-149.15,77.4,77,10,11.5,clear sky
176,Luderitz,NA,-26.6481,15.1594,59.61,85,46,18.75,scattered clouds
177,Alice Springs,AU,-23.7,133.8833,80.15,29,0,9.22,clear sky
178,Jurilovca,RO,44.7667,28.8667,50.09,66,91,18.95,overcast clouds
179,Pokrovsk,UA,48.282,37.1758,47.98,87,98,5.86,overcast clouds
180,Svetlogorsk,BY,52.6333,29.7333,36.64,95,100,17.45,overcast clouds
181,Fukue,JP,32.6881,128.8419,70.16,60,20,9.22,few clouds
182,Mpika,ZM,-11.8343,31.4529,61.59,57,31,6.8,scattered clouds
183,Batsfjord,NO,70.6345,29.7185,37.33,86,40,34.52,light snow
184,Nicoya,CR,10.1483,-85.452,75.02,91,24,1.7,few clouds
185,Saint-Augustin,CA,51.226,-58.6502,49.89,97,100,13.89,overcast clouds
186,Kerema,PG,-7.9631,145.7785,83.64,71,86,10.67,overcast clouds
187,Coahuayana,MX,18.7333,-103.6833,77.83,88,92,2.44,overcast clouds
188,Tessalit,ML,20.1986,1.0114,76.39,25,76,11.54,broken clouds
189,Camocim,BR,-2.9022,-40.8411,78.08,79,9,13.2,clear sky
190,Jagatsinghapur,IN,20.2667,86.1667,84.56,68,0,10.11,clear sky
191,Leningradskiy,RU,69.3833,178.4167,33.03,91,100,24.23,overcast clouds
192,Sambava,MG,-14.2667,50.1667,71.6,69,77,11.83,broken clouds
193,Saskylakh,RU,71.9167,114.0833,1.71,94,33,2.53,scattered clouds
194,Maxixe,MZ,-23.8597,35.3472,73.22,83,40,0.0,scattered clouds
195,Shishou,CN,29.7226,112.419,74.55,19,98,5.55,overcast clouds
196,Vlasikha,RU,53.2972,83.5742,43.65,56,0,13.42,clear sky
197,Kiruna,SE,67.8557,20.2251,32.92,86,0,2.3,clear sky
198,Road Town,VG,18.4167,-64.6167,82.49,76,1,14.65,clear sky
199,Jacareacanga,BR,-6.2222,-57.7528,71.73,97,12,2.1,few clouds
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.98,90,100,19.82,overcast clouds
201,Ocampo,MX,21.65,-101.5,48.2,89,100,7.78,overcast clouds
202,Faanui,PF,-16.4833,-151.75,78.94,75,27,6.62,light rain
203,Boende,CD,-0.2167,20.8667,68.43,99,100,1.32,light rain
204,La Ronge,CA,55.1001,-105.2842,55.65,50,75,8.05,broken clouds
205,Tura,IN,25.5198,90.2201,81.1,57,32,3.53,scattered clouds
206,Saint George,US,37.1041,-113.5841,70.39,24,0,3.0,clear sky
207,Kyshtovka,RU,56.555,76.6271,39.38,96,100,8.81,overcast clouds
208,Uruzgan,AF,32.8333,66.0,56.41,31,0,7.09,clear sky
209,Codrington,AU,-38.2667,141.9667,65.79,71,1,12.71,clear sky
210,Hualmay,PE,-11.0964,-77.6139,60.96,85,72,9.91,broken clouds
211,Dalvik,IS,65.9702,-18.5286,33.73,73,83,5.39,broken clouds
212,Kushiro,JP,42.975,144.3747,59.95,47,40,10.36,scattered clouds
213,Isangel,VU,-19.55,169.2667,80.71,78,75,4.61,broken clouds
214,Ngunguru,NZ,-35.6167,174.5,63.7,55,81,13.38,broken clouds
215,Mattru,SL,7.6244,-11.8332,72.27,98,67,2.24,broken clouds
216,Poros,GR,37.4994,23.4536,65.37,62,0,8.48,clear sky
217,Yumen,CN,40.2833,97.2,53.74,32,6,14.63,clear sky
218,Flinders,AU,-34.5833,150.8552,69.19,88,100,3.0,overcast clouds
219,Waddan,LY,29.1614,16.139,63.59,71,21,4.72,few clouds
220,Kremnica,SK,48.7052,18.9183,37.47,95,2,3.69,clear sky
221,Saint-Pierre,RE,-21.3393,55.4781,74.88,57,0,13.8,clear sky
222,Kristiinankaupunki,FI,62.2743,21.376,44.47,83,64,10.42,broken clouds
223,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,51,0,8.99,clear sky
224,Nizhniy Kuranakh,RU,58.8353,125.4869,27.32,92,100,10.18,light snow
225,Suez,EG,29.9737,32.5263,66.51,89,0,8.86,clear sky
226,Kavieng,PG,-2.5744,150.7967,85.68,66,93,7.76,overcast clouds
227,Korla,CN,41.7597,86.1469,57.54,35,100,16.49,overcast clouds
228,Terney,RU,45.0503,136.6092,58.8,46,0,8.03,clear sky
